ID,TYPE,SIZE,TYPE_ANS,SIZE_ANS
1,1,1,0,1
2,1,1,0,1
3,1,1,0,1
4,1,1,0,1
5,1,1,0,1
6,1,1,0,1
7,1,2,1,1
8,1,2,1,1
9,1,2,1,1
10,1,2,1,1
11,1,2,1,0
12,1,2,0,0
13,1,3,1,0
14,1,3,1,0
15,1,3,1,0
16,1,3,1,0
17,1,3,1,0
18,1,3,1,0
19,2,1,1,1
20,2,1,1,1
21,2,1,1,1
22,2,1,1,1
23,2,1,1,1
24,2,1,1,1
25,2,2,1,1
26,2,2,1,1
27,2,2,1,1
28,2,2,1,0
29,2,2,1,0
30,2,2,1,0
31,2,3,1,1
32,2,3,1,1
33,2,3,1,0
34,2,3,1,0
35,2,3,1,0
36,2,3,0,0
37,3,1,1,1
38,3,1,1,1
39,3,1,1,1
40,3,1,1,1
41,3,1,0,1
42,3,1,0,1
43,3,2,1,1
44,3,2,1,1
45,3,2,1,1
46,3,2,1,0
47,3,2,1,0
48,3,2,1,0
49,3,3,1,1
50,3,3,1,0
51,3,3,1,0
52,3,3,1,0
53,3,3,1,0
54,3,3,1,0
