trial;type;nb_actuators;width;length;actuators
52;slide;2;1;2;['ff1', 'palm33']
53;tap;4;2;2;[['palm13', 'palm12'], ['palm23', 'palm22']]
54;tap;10;2;5;[['palm22', 'palm32'], ['palm23', 'palm33'], ['mf1', 'ff1'], ['mf2', 'ff2'], ['mf3', 'ff3']]
55;tap-and-hold;2;1;2;['palm31', 'b1']
56;tap-and-hold;4;2;2;[['palm32', 'palm33'], ['palm22', 'palm23']]
57;tap-and-hold;5;1;5;['mf1', 'palm23', 'palm22', 'palm21', 'b1']
58;slide;12;3;4;[['palm31', 'palm21', 'palm11'], ['palm32', 'palm22', 'palm12'], ['palm33', 'palm23', 'palm13'], ['mf1', 'rf1', 'p1']]
59;slide;5;1;5;['mf1', 'palm23', 'palm22', 'palm21', 'b1']
60;tap-and-hold;10;2;5;[['ff3', 'mf3'], ['ff2', 'mf2'], ['ff1', 'mf1'], ['palm33', 'palm23'], ['palm32', 'palm22']]
61;tap-and-hold;4;2;2;[['p1', 'rf1'], ['palm13', 'palm23']]
62;tap;9;3;3;[['palm33', 'palm23', 'palm13'], ['palm32', 'palm22', 'palm12'], ['palm31', 'palm21', 'palm11']]
63;tap-and-hold;12;3;4;[['ff3', 'mf3', 'rf3'], ['ff2', 'mf2', 'rf2'], ['ff1', 'mf1', 'rf1'], ['palm33', 'palm23', 'palm13']]
64;tap;5;1;5;['palm22', 'palm23', 'mf1', 'mf2', 'rf2']
65;tap-and-hold;8;2;4;[['mf1', 'rf1'], ['palm33', 'palm23'], ['palm32', 'palm22'], ['palm31', 'palm21']]
66;tap;5;1;5;['ff3', 'ff2', 'ff1', 'palm33', 'palm23']
67;slide;8;4;2;[['rf2', 'rf1', 'palm23', 'palm22'], ['p2', 'p1', 'palm13', 'palm12']]
68;slide;3;1;3;['ff3', 'ff2', 'ff1']
69;tap-and-hold;8;4;2;[['palm11', 'palm12', 'palm13', 'p1'], ['palm21', 'palm22', 'palm23', 'mf1']]
70;tap-and-hold;2;1;2;['palm22', 'palm12']
71;slide;4;2;2;[['palm22', 'palm21'], ['palm12', 'palm11']]
72;tap-and-hold;12;3;4;[['palm31', 'palm21', 'palm11'], ['palm32', 'palm22', 'palm12'], ['palm33', 'palm23', 'palm13'], ['mf1', 'rf1', 'p1']]
73;tap;8;2;4;[['mf1', 'rf1'], ['palm33', 'palm23'], ['palm32', 'palm22'], ['palm31', 'palm21']]
74;tap-and-hold;5;1;5;['p2', 'p1', 'rf1', 'mf1', 'palm23']
75;slide;5;1;5;['palm22', 'palm23', 'mf1', 'mf2', 'rf2']
76;tap;5;1;5;['mf1', 'palm23', 'palm22', 'palm21', 'b1']
77;tap;3;1;3;['ff3', 'ff2', 'ff1']
78;tap;4;2;2;[['palm32', 'palm33'], ['palm22', 'palm23']]
79;slide;2;1;2;['palm31', 'b1']
80;tap;12;3;4;[['palm31', 'palm21', 'palm11'], ['palm32', 'palm22', 'palm12'], ['palm33', 'palm23', 'palm13'], ['mf1', 'rf1', 'p1']]
81;tap-and-hold;5;1;5;['ff3', 'ff2', 'ff1', 'palm33', 'palm23']
82;tap;12;3;4;[['ff3', 'mf3', 'rf3'], ['ff2', 'mf2', 'rf2'], ['ff1', 'mf1', 'rf1'], ['palm33', 'palm23', 'palm13']]
83;tap-and-hold;8;4;2;[['rf2', 'rf1', 'palm23', 'palm22'], ['p2', 'p1', 'palm13', 'palm12']]
84;slide;8;2;4;[['mf1', 'rf1'], ['palm33', 'palm23'], ['palm32', 'palm22'], ['palm31', 'palm21']]
85;slide;4;2;2;[['palm13', 'palm12'], ['palm23', 'palm22']]
86;slide;2;1;2;['palm22', 'palm12']
87;tap-and-hold;9;3;3;[['p2', 'rf2', 'mf2'], ['p1', 'rf1', 'mf1'], ['palm13', 'palm23', 'palm33']]
88;slide;8;4;2;[['palm11', 'palm12', 'palm13', 'p1'], ['palm21', 'palm22', 'palm23', 'mf1']]
89;tap-and-hold;2;1;2;['palm31', 'palm21']
90;tap-and-hold;12;4;3;[['palm31', 'palm32', 'palm33', 'ff1'], ['palm21', 'palm22', 'palm23', 'rf1'], ['palm11', 'palm12', 'palm13', 'p1']]
