trial;type;nb_actuators;width;length;actuators
1;tap-and-hold;10;2;5;[['ff3', 'mf3'], ['ff2', 'mf2'], ['ff1', 'mf1'], ['palm33', 'palm23'], ['palm32', 'palm22']]
2;tap;2;1;2;['palm31', 'b1']
3;tap;5;1;5;['ff3', 'ff2', 'mf2', 'mf1', 'ff1']
4;tap-and-hold;2;1;2;['ff1', 'palm33']
5;slide;10;2;5;[['ff3', 'mf3'], ['ff2', 'mf2'], ['ff1', 'mf1'], ['palm33', 'palm23'], ['palm32', 'palm22']]
6;tap;5;1;5;['p2', 'p1', 'rf1', 'mf1', 'palm23']
7;slide;9;3;3;[['palm12', 'palm13', 'rf1'], ['palm22', 'palm23', 'mf1'], ['palm32', 'palm33', 'ff1']]
8;tap-and-hold;6;2;3;[['mf2', 'rf2'], ['mf1', 'rf1'], ['palm33', 'palm23']]
9;slide;9;3;3;[['p2', 'rf2', 'mf2'], ['p1', 'rf1', 'mf1'], ['palm13', 'palm23', 'palm33']]
10;tap;6;2;3;[['mf2', 'rf2'], ['mf1', 'rf1'], ['palm33', 'palm23']]
11;tap;12;4;3;[['palm31', 'palm32', 'palm33', 'ff1'], ['palm21', 'palm22', 'palm23', 'rf1'], ['palm11', 'palm12', 'palm13', 'p1']]
12;tap-and-hold;4;2;2;[['palm22', 'palm21'], ['palm12', 'palm11']]
13;tap-and-hold;9;3;3;[['palm33', 'palm23', 'palm13'], ['palm32', 'palm22', 'palm12'], ['palm31', 'palm21', 'palm11']]
14;slide;5;1;5;['ff3', 'ff2', 'ff1', 'palm33', 'palm23']
15;slide;9;3;3;[['palm33', 'palm23', 'palm13'], ['palm32', 'palm22', 'palm12'], ['palm31', 'palm21', 'palm11']]
16;tap;10;2;5;[['ff3', 'mf3'], ['ff2', 'mf2'], ['ff1', 'mf1'], ['palm33', 'palm23'], ['palm32', 'palm22']]
17;slide;10;2;5;[['palm22', 'palm32'], ['palm23', 'palm33'], ['mf1', 'ff1'], ['mf2', 'ff2'], ['mf3', 'ff3']]
18;tap;8;4;2;[['rf2', 'rf1', 'palm23', 'palm22'], ['p2', 'p1', 'palm13', 'palm12']]
19;slide;2;1;2;['palm31', 'palm21']
20;tap;9;3;3;[['palm12', 'palm13', 'rf1'], ['palm22', 'palm23', 'mf1'], ['palm32', 'palm33', 'ff1']]
21;tap-and-hold;5;1;5;['palm22', 'palm23', 'mf1', 'mf2', 'rf2']
22;tap-and-hold;3;1;3;['ff3', 'ff2', 'ff1']
23;slide;4;2;2;[['p1', 'rf1'], ['palm13', 'palm23']]
24;tap;2;1;2;['palm31', 'palm21']
25;slide;5;1;5;['p2', 'p1', 'rf1', 'mf1', 'palm23']
26;tap-and-hold;5;1;5;['rf3', 'rf2', 'rf1', 'p1', 'p2']
27;tap-and-hold;3;1;3;['ff3', 'ff2', 'ff1']
28;tap;4;2;2;[['p1', 'rf1'], ['palm13', 'palm23']]
29;slide;10;2;5;[['ff3', 'mf3'], ['ff2', 'mf2'], ['ff1', 'mf1'], ['palm33', 'palm23'], ['palm32', 'palm22']]
30;tap-and-hold;10;2;5;[['palm22', 'palm32'], ['palm23', 'palm33'], ['mf1', 'ff1'], ['mf2', 'ff2'], ['mf3', 'ff3']]
31;tap-and-hold;4;2;2;[['palm13', 'palm12'], ['palm23', 'palm22']]
32;tap-and-hold;9;3;3;[['palm12', 'palm13', 'rf1'], ['palm22', 'palm23', 'mf1'], ['palm32', 'palm33', 'ff1']]
33;tap-and-hold;9;3;3;[['rf3', 'mf3', 'ff3'], ['rf2', 'mf2', 'ff2'], ['rf1', 'mf1', 'ff1']]
34;tap-and-hold;5;1;5;['ff3', 'ff2', 'mf2', 'mf1', 'ff1']
35;tap;10;2;5;[['ff3', 'mf3'], ['ff2', 'mf2'], ['ff1', 'mf1'], ['palm33', 'palm23'], ['palm32', 'palm22']]
36;tap;2;1;2;['palm22', 'palm12']
37;tap;9;3;3;[['rf3', 'mf3', 'ff3'], ['rf2', 'mf2', 'ff2'], ['rf1', 'mf1', 'ff1']]
38;slide;5;1;5;['rf3', 'rf2', 'rf1', 'p1', 'p2']
39;slide;6;2;3;[['mf2', 'rf2'], ['mf1', 'rf1'], ['palm33', 'palm23']]
40;slide;12;3;4;[['ff3', 'mf3', 'rf3'], ['ff2', 'mf2', 'rf2'], ['ff1', 'mf1', 'rf1'], ['palm33', 'palm23', 'palm13']]
41;slide;9;3;3;[['rf3', 'mf3', 'ff3'], ['rf2', 'mf2', 'ff2'], ['rf1', 'mf1', 'ff1']]
42;tap;8;4;2;[['palm11', 'palm12', 'palm13', 'p1'], ['palm21', 'palm22', 'palm23', 'mf1']]
43;slide;4;2;2;[['palm32', 'palm33'], ['palm22', 'palm23']]
44;slide;5;1;5;['ff3', 'ff2', 'mf2', 'mf1', 'ff1']
45;slide;12;4;3;[['palm31', 'palm32', 'palm33', 'ff1'], ['palm21', 'palm22', 'palm23', 'rf1'], ['palm11', 'palm12', 'palm13', 'p1']]
46;tap;3;1;3;['ff3', 'ff2', 'ff1']
47;tap;9;3;3;[['p2', 'rf2', 'mf2'], ['p1', 'rf1', 'mf1'], ['palm13', 'palm23', 'palm33']]
48;slide;3;1;3;['ff3', 'ff2', 'ff1']
49;tap;5;1;5;['rf3', 'rf2', 'rf1', 'p1', 'p2']
50;tap;4;2;2;[['palm22', 'palm21'], ['palm12', 'palm11']]
51;tap;2;1;2;['ff1', 'palm33']
