time,event
1.2799995602108538e-05,experiment started
0.050868399994215,stimulus 1 of 90 complete
0.1014481999882264,stimulus 2 of 90 complete
0.15202249999856576,stimulus 3 of 90 complete
0.20261919999029487,stimulus 4 of 90 complete
0.25327699999616016,stimulus 5 of 90 complete
0.3038767999969423,stimulus 6 of 90 complete
0.3591725000005681,stimulus 7 of 90 complete
0.41016229998786,stimulus 8 of 90 complete
0.4608765999873867,stimulus 9 of 90 complete
0.5115304999926593,stimulus 10 of 90 complete
0.5624587999918731,stimulus 11 of 90 complete
0.6131353999953717,stimulus 12 of 90 complete
0.6646446999948239,stimulus 13 of 90 complete
0.7158296999987215,stimulus 14 of 90 complete
0.7667749999964144,stimulus 15 of 90 complete
0.8177354999934323,stimulus 16 of 90 complete
0.8688626999937696,stimulus 17 of 90 complete
0.9196789999987232,stimulus 18 of 90 complete
0.9703178999916418,stimulus 19 of 90 complete
1.0210165999887977,stimulus 20 of 90 complete
1.0717178999911994,stimulus 21 of 90 complete
1.122454899988952,stimulus 22 of 90 complete
1.1733236000000034,stimulus 23 of 90 complete
1.224088799994206,stimulus 24 of 90 complete
1.274708199998713,stimulus 25 of 90 complete
1.3253244999941671,stimulus 26 of 90 complete
1.3759871999936877,stimulus 27 of 90 complete
1.4266982999979518,stimulus 28 of 90 complete
1.4773375999939162,stimulus 29 of 90 complete
1.527970799987088,stimulus 30 of 90 complete
1.578589999990072,stimulus 31 of 90 complete
1.629207399993902,stimulus 32 of 90 complete
1.6798729999864008,stimulus 33 of 90 complete
1.7305533999897307,stimulus 34 of 90 complete
1.7811751999979606,stimulus 35 of 90 complete
1.8318083999911323,stimulus 36 of 90 complete
1.8824215999920852,stimulus 37 of 90 complete
1.9330635999940569,stimulus 38 of 90 complete
1.9836680999869714,stimulus 39 of 90 complete
2.034301699997741,stimulus 40 of 90 complete
2.0849136999895563,stimulus 41 of 90 complete
2.135514099994907,stimulus 42 of 90 complete
2.1861674999963725,stimulus 43 of 90 complete
2.236774899996817,stimulus 44 of 90 complete
2.28738299998804,stimulus 45 of 90 complete
2.337982400000328,stimulus 46 of 90 complete
2.388572199997725,stimulus 47 of 90 complete
2.439241599990055,stimulus 48 of 90 complete
2.4898337999911746,stimulus 49 of 90 complete
2.540493599997717,stimulus 50 of 90 complete
2.5911077999917325,stimulus 51 of 90 complete
2.6417851999867707,stimulus 52 of 90 complete
2.692449799986207,stimulus 53 of 90 complete
2.7431611999927554,stimulus 54 of 90 complete
2.7938501999888103,stimulus 55 of 90 complete
2.844489799987059,stimulus 56 of 90 complete
2.8953410999965854,stimulus 57 of 90 complete
2.946115799990366,stimulus 58 of 90 complete
2.9967594999907305,stimulus 59 of 90 complete
3.047392899999977,stimulus 60 of 90 complete
3.098031599991373,stimulus 61 of 90 complete
3.1486488999944413,stimulus 62 of 90 complete
3.199280799992266,stimulus 63 of 90 complete
3.2498947999993106,stimulus 64 of 90 complete
3.3005475999962073,stimulus 65 of 90 complete
3.3511971999978414,stimulus 66 of 90 complete
3.4018214999960037,stimulus 67 of 90 complete
3.4524787999980617,stimulus 68 of 90 complete
3.503131999998004,stimulus 69 of 90 complete
3.5537637999950675,stimulus 70 of 90 complete
3.6043943999975454,stimulus 71 of 90 complete
3.655041499994695,stimulus 72 of 90 complete
3.7057382999919355,stimulus 73 of 90 complete
3.7564045999897644,stimulus 74 of 90 complete
3.8070052999973996,stimulus 75 of 90 complete
3.857607399986591,stimulus 76 of 90 complete
3.908318899993901,stimulus 77 of 90 complete
3.959052199992584,stimulus 78 of 90 complete
4.009684099990409,stimulus 79 of 90 complete
4.060284099992714,stimulus 80 of 90 complete
4.11086639999121,stimulus 81 of 90 complete
4.161483299991232,stimulus 82 of 90 complete
4.212134699992021,stimulus 83 of 90 complete
4.262833099986892,stimulus 84 of 90 complete
4.313621299996157,stimulus 85 of 90 complete
4.364360999999917,stimulus 86 of 90 complete
4.415019799998845,stimulus 87 of 90 complete
4.4657626999978675,stimulus 88 of 90 complete
4.516374399987399,stimulus 89 of 90 complete
4.566964999990887,stimulus 90 of 90 complete
4.5671640999935335,Experiment finished
