trial;type;nb_actuators;width;length;actuators
1;tap;4;1;4;['mf3', 'mf2', 'rf2', 'p2']
2;tap-and-hold;3;1;3;['ff3', 'mf3', 'rf3']
3;tap;12;3;4;[['ff3', 'mf3', 'rf3'], ['ff2', 'mf2', 'rf2'], ['ff1', 'mf1', 'rf1'], ['palm33', 'palm23', 'palm13']]
