time,event
8.200004231184721e-06,experiment started
0.05099429999245331,stimulus 1 of 90 complete
0.10177009999461006,stimulus 2 of 90 complete
0.15246399999887217,stimulus 3 of 90 complete
0.2031012999941595,stimulus 4 of 90 complete
0.25386559999606106,stimulus 5 of 90 complete
0.304544700004044,stimulus 6 of 90 complete
0.35526860000391025,stimulus 7 of 90 complete
0.4059209999977611,stimulus 8 of 90 complete
0.45657690000371076,stimulus 9 of 90 complete
0.5072792999999365,stimulus 10 of 90 complete
0.562681800001883,stimulus 11 of 90 complete
0.6133998000004794,stimulus 12 of 90 complete
0.6650264999916544,stimulus 13 of 90 complete
0.7165769999992335,stimulus 14 of 90 complete
0.7686504000012064,stimulus 15 of 90 complete
0.8201829000026919,stimulus 16 of 90 complete
0.8708452999999281,stimulus 17 of 90 complete
0.9214973999914946,stimulus 18 of 90 complete
0.9721633000008296,stimulus 19 of 90 complete
1.0228279000002658,stimulus 20 of 90 complete
1.073439400002826,stimulus 21 of 90 complete
1.12411429999338,stimulus 22 of 90 complete
1.174852700001793,stimulus 23 of 90 complete
1.2256332999968436,stimulus 24 of 90 complete
1.27632089999679,stimulus 25 of 90 complete
1.3270170000032522,stimulus 26 of 90 complete
1.3778224999987287,stimulus 27 of 90 complete
1.4285166000045137,stimulus 28 of 90 complete
1.4792411999951582,stimulus 29 of 90 complete
1.5299057999945944,stimulus 30 of 90 complete
1.5805541000008816,stimulus 31 of 90 complete
1.6312773999961792,stimulus 32 of 90 complete
1.6819864999997662,stimulus 33 of 90 complete
1.732654299994465,stimulus 34 of 90 complete
1.7833256000012625,stimulus 35 of 90 complete
1.8339866000023903,stimulus 36 of 90 complete
1.8846343000041088,stimulus 37 of 90 complete
1.9354710999905365,stimulus 38 of 90 complete
1.9861616999987746,stimulus 39 of 90 complete
2.036800400004722,stimulus 40 of 90 complete
2.0874222999991616,stimulus 41 of 90 complete
2.138032499991823,stimulus 42 of 90 complete
2.188716000004206,stimulus 43 of 90 complete
2.239400399994338,stimulus 44 of 90 complete
2.290053100005025,stimulus 45 of 90 complete
2.3409398999938276,stimulus 46 of 90 complete
2.391691199998604,stimulus 47 of 90 complete
2.4423655999999028,stimulus 48 of 90 complete
2.4930687000014586,stimulus 49 of 90 complete
2.5437700000038603,stimulus 50 of 90 complete
2.5944138999911956,stimulus 51 of 90 complete
2.6451570999925025,stimulus 52 of 90 complete
2.695883499996853,stimulus 53 of 90 complete
2.746528000003309,stimulus 54 of 90 complete
2.797338899996248,stimulus 55 of 90 complete
2.848136300002807,stimulus 56 of 90 complete
2.898723799997242,stimulus 57 of 90 complete
2.9493916999927023,stimulus 58 of 90 complete
3.000016299993149,stimulus 59 of 90 complete
3.0506634999910602,stimulus 60 of 90 complete
3.1012841000047047,stimulus 61 of 90 complete
3.1521221000002697,stimulus 62 of 90 complete
3.2033029000012903,stimulus 63 of 90 complete
3.2539441999979317,stimulus 64 of 90 complete
3.304564299993217,stimulus 65 of 90 complete
3.355198000004748,stimulus 66 of 90 complete
3.4058318000024883,stimulus 67 of 90 complete
3.456514799996512,stimulus 68 of 90 complete
3.5071981999935815,stimulus 69 of 90 complete
3.5578018999949563,stimulus 70 of 90 complete
3.608456000001752,stimulus 71 of 90 complete
3.6590976000006776,stimulus 72 of 90 complete
3.7097801999916555,stimulus 73 of 90 complete
3.7603066000010585,stimulus 74 of 90 complete
3.8109552999958396,stimulus 75 of 90 complete
3.861640699993586,stimulus 76 of 90 complete
3.9122444999957224,stimulus 77 of 90 complete
3.9629027000046335,stimulus 78 of 90 complete
4.013513999991119,stimulus 79 of 90 complete
4.064118499998585,stimulus 80 of 90 complete
4.114828699995996,stimulus 81 of 90 complete
4.16549159999704,stimulus 82 of 90 complete
4.216205399992759,stimulus 83 of 90 complete
4.266921399990679,stimulus 84 of 90 complete
4.317703900000197,stimulus 85 of 90 complete
4.368454600000405,stimulus 86 of 90 complete
4.419297600004938,stimulus 87 of 90 complete
4.470278499997221,stimulus 88 of 90 complete
4.521137100004125,stimulus 89 of 90 complete
4.571995099991909,stimulus 90 of 90 complete
4.572194299995317,Experiment finished
