trial;type;nb_actuators;width;length;actuators
1;tap;3;1;3;['mf2', 'mf1', 'ff1']
2;tap-and-hold;3;1;3;['mf2', 'mf1', 'ff1']
3;slide;3;1;3;['mf2', 'mf1', 'ff1']
4;tap;4;1;4;['ff3', 'mf3', 'mf2', 'ff2']
5;tap-and-hold;4;1;4;['ff3', 'mf3', 'mf2', 'ff2']
6;slide;4;1;4;['ff3', 'mf3', 'mf2', 'ff2']
7;tap;3;1;3;['rf1', 'palm13', 'palm12']
8;tap-and-hold;3;1;3;['rf1', 'palm13', 'palm12']
9;slide;3;1;3;['rf1', 'palm13', 'palm12']
10;tap;4;1;4;['palm23', 'mf1', 'ff1', 'palm33']
11;tap-and-hold;4;1;4;['palm23', 'mf1', 'ff1', 'palm33']
12;slide;4;1;4;['palm23', 'mf1', 'ff1', 'palm33']
13;tap;2;1;2;['palm22', 'palm32']
14;tap-and-hold;2;1;2;['palm22', 'palm32']
15;slide;2;1;2;['palm22', 'palm32']
16;tap;4;2;2;[['p1', 'rf1'], ['p2', 'rf2']]
17;tap-and-hold;4;2;2;[['p1', 'rf1'], ['p2', 'rf2']]
18;slide;4;2;2;[['p1', 'rf1'], ['p2', 'rf2']]
19;tap;2;1;2;['rf1', 'rf2']
20;tap-and-hold;2;1;2;['rf1', 'rf2']
21;slide;2;1;2;['rf1', 'rf2']
22;tap;3;1;3;['mf2', 'rf2', 'p2']
23;tap-and-hold;3;1;3;['mf2', 'rf2', 'p2']
24;slide;3;1;3;['mf2', 'rf2', 'p2']
25;tap;2;1;2;['mf1', 'rf1']
26;tap-and-hold;2;1;2;['mf1', 'rf1']
27;slide;2;1;2;['mf1', 'rf1']
28;tap;4;1;4;['palm33', 'mf1', 'ff1', 'ff2']
29;tap-and-hold;4;1;4;['palm33', 'mf1', 'ff1', 'ff2']
30;slide;4;1;4;['palm33', 'mf1', 'ff1', 'ff2']
31;tap;8;2;4;[['mf1', 'rf1'], ['palm23', 'palm13'], ['palm22', 'palm12'], ['palm21', 'palm11']]
32;tap-and-hold;8;2;4;[['mf1', 'rf1'], ['palm23', 'palm13'], ['palm22', 'palm12'], ['palm21', 'palm11']]
33;slide;8;2;4;[['mf1', 'rf1'], ['palm23', 'palm13'], ['palm22', 'palm12'], ['palm21', 'palm11']]
34;tap;6;3;2;[['mf2', 'rf2', 'p2'], ['mf1', 'rf1', 'p1']]
35;tap-and-hold;6;3;2;[['mf2', 'rf2', 'p2'], ['mf1', 'rf1', 'p1']]
36;slide;6;3;2;[['mf2', 'rf2', 'p2'], ['mf1', 'rf1', 'p1']]
37;tap;8;2;4;[['mf3', 'ff3'], ['mf2', 'ff2'], ['mf1', 'ff1'], ['palm23', 'palm33']]
38;tap-and-hold;8;2;4;[['mf3', 'ff3'], ['mf2', 'ff2'], ['mf1', 'ff1'], ['palm23', 'palm33']]
39;slide;8;2;4;[['mf3', 'ff3'], ['mf2', 'ff2'], ['mf1', 'ff1'], ['palm23', 'palm33']]
40;tap;6;3;2;[['rf3', 'rf2', 'rf1'], ['mf3', 'mf2', 'mf1']]
41;tap-and-hold;6;3;2;[['rf3', 'rf2', 'rf1'], ['mf3', 'mf2', 'mf1']]
42;slide;6;3;2;[['rf3', 'rf2', 'rf1'], ['mf3', 'mf2', 'mf1']]
43;tap;8;2;4;[['rf1', 'mf1'], ['palm23', 'palm33'], ['palm22', 'palm32'], ['palm21', 'palm31']]
44;tap-and-hold;8;2;4;[['rf1', 'mf1'], ['palm23', 'palm33'], ['palm22', 'palm32'], ['palm21', 'palm31']]
45;slide;8;2;4;[['rf1', 'mf1'], ['palm23', 'palm33'], ['palm22', 'palm32'], ['palm21', 'palm31']]
46;tap;8;4;2;[['rf2', 'rf1', 'palm23', 'palm22'], ['p2', 'p1', 'palm13', 'palm12']]
47;tap-and-hold;8;4;2;[['rf2', 'rf1', 'palm23', 'palm22'], ['p2', 'p1', 'palm13', 'palm12']]
48;slide;8;4;2;[['rf2', 'rf1', 'palm23', 'palm22'], ['p2', 'p1', 'palm13', 'palm12']]
