trial;type;nb_actuators;width;length;actuators
49;tap;6;3;2;[['palm11', 'palm12', 'palm13'], ['palm21', 'palm22', 'palm23']]
50;tap-and-hold;6;3;2;[['palm11', 'palm12', 'palm13'], ['palm21', 'palm22', 'palm23']]
51;slide;6;3;2;[['palm11', 'palm12', 'palm13'], ['palm21', 'palm22', 'palm23']]
52;tap;5;1;5;['mf1', 'rf1', 'p1', 'palm13', 'palm12']
53;tap-and-hold;5;1;5;['mf1', 'rf1', 'p1', 'palm13', 'palm12']
54;slide;5;1;5;['mf1', 'rf1', 'p1', 'palm13', 'palm12']
55;tap;6;1;6;['palm33', 'palm23', 'mf1', 'ff1', 'ff2', 'mf2']
56;tap-and-hold;6;1;6;['palm33', 'palm23', 'mf1', 'ff1', 'ff2', 'mf2']
57;slide;6;1;6;['palm33', 'palm23', 'mf1', 'ff1', 'ff2', 'mf2']
58;tap;8;2;4;[['rf2', 'mf2'], ['rf1', 'mf1'], ['palm23', 'palm33'], ['palm22', 'palm32']]
59;tap-and-hold;8;2;4;[['rf2', 'mf2'], ['rf1', 'mf1'], ['palm23', 'palm33'], ['palm22', 'palm32']]
60;slide;8;2;4;[['rf2', 'mf2'], ['rf1', 'mf1'], ['palm23', 'palm33'], ['palm22', 'palm32']]
61;tap;12;3;4;[['ff1', 'mf1', 'rf1'], ['palm33', 'palm23', 'palm13'], ['palm32', 'palm22', 'palm12'], ['palm31', 'palm21', 'palm11']]
62;tap-and-hold;12;3;4;[['ff1', 'mf1', 'rf1'], ['palm33', 'palm23', 'palm13'], ['palm32', 'palm22', 'palm12'], ['palm31', 'palm21', 'palm11']]
63;slide;12;3;4;[['ff1', 'mf1', 'rf1'], ['palm33', 'palm23', 'palm13'], ['palm32', 'palm22', 'palm12'], ['palm31', 'palm21', 'palm11']]
64;tap;12;3;4;[['p1', 'rf1', 'mf1'], ['palm13', 'palm23', 'palm33'], ['palm12', 'palm22', 'palm32'], ['palm11', 'palm21', 'palm31']]
65;tap-and-hold;12;3;4;[['p1', 'rf1', 'mf1'], ['palm13', 'palm23', 'palm33'], ['palm12', 'palm22', 'palm32'], ['palm11', 'palm21', 'palm31']]
66;slide;12;3;4;[['p1', 'rf1', 'mf1'], ['palm13', 'palm23', 'palm33'], ['palm12', 'palm22', 'palm32'], ['palm11', 'palm21', 'palm31']]
67;tap;12;3;4;[['rf3', 'mf3', 'ff3'], ['rf2', 'mf2', 'ff2'], ['rf1', 'mf1', 'ff1'], ['palm13', 'palm23', 'palm33']]
68;tap-and-hold;12;3;4;[['rf3', 'mf3', 'ff3'], ['rf2', 'mf2', 'ff2'], ['rf1', 'mf1', 'ff1'], ['palm13', 'palm23', 'palm33']]
69;slide;12;3;4;[['rf3', 'mf3', 'ff3'], ['rf2', 'mf2', 'ff2'], ['rf1', 'mf1', 'ff1'], ['palm13', 'palm23', 'palm33']]
70;tap;12;4;3;[['palm12', 'palm13', 'rf1', 'rf2'], ['palm22', 'palm23', 'mf1', 'mf2'], ['palm32', 'palm33', 'ff1', 'ff2']]
71;tap-and-hold;12;4;3;[['palm12', 'palm13', 'rf1', 'rf2'], ['palm22', 'palm23', 'mf1', 'mf2'], ['palm32', 'palm33', 'ff1', 'ff2']]
72;slide;12;4;3;[['palm12', 'palm13', 'rf1', 'rf2'], ['palm22', 'palm23', 'mf1', 'mf2'], ['palm32', 'palm33', 'ff1', 'ff2']]
73;tap;9;3;3;[['palm11', 'palm12', 'palm13'], ['palm21', 'palm22', 'palm23'], ['palm31', 'palm32', 'palm33']]
74;tap-and-hold;9;3;3;[['palm11', 'palm12', 'palm13'], ['palm21', 'palm22', 'palm23'], ['palm31', 'palm32', 'palm33']]
75;slide;9;3;3;[['palm11', 'palm12', 'palm13'], ['palm21', 'palm22', 'palm23'], ['palm31', 'palm32', 'palm33']]
76;tap;10;2;5;[['palm11', 'palm21'], ['palm12', 'palm22'], ['palm13', 'palm23'], ['rf1', 'mf1'], ['rf2', 'mf2']]
77;tap-and-hold;10;2;5;[['palm11', 'palm21'], ['palm12', 'palm22'], ['palm13', 'palm23'], ['rf1', 'mf1'], ['rf2', 'mf2']]
78;slide;10;2;5;[['palm11', 'palm21'], ['palm12', 'palm22'], ['palm13', 'palm23'], ['rf1', 'mf1'], ['rf2', 'mf2']]
79;tap;9;3;3;[['ff2', 'mf2', 'rf2'], ['ff1', 'mf1', 'rf1'], ['palm33', 'palm23', 'palm13']]
80;tap-and-hold;9;3;3;[['ff2', 'mf2', 'rf2'], ['ff1', 'mf1', 'rf1'], ['palm33', 'palm23', 'palm13']]
81;slide;9;3;3;[['ff2', 'mf2', 'rf2'], ['ff1', 'mf1', 'rf1'], ['palm33', 'palm23', 'palm13']]
82;tap;9;3;3;[['palm13', 'palm23', 'palm33'], ['rf1', 'mf1', 'ff1'], ['rf2', 'mf2', 'ff2']]
83;tap-and-hold;9;3;3;[['palm13', 'palm23', 'palm33'], ['rf1', 'mf1', 'ff1'], ['rf2', 'mf2', 'ff2']]
84;slide;9;3;3;[['palm13', 'palm23', 'palm33'], ['rf1', 'mf1', 'ff1'], ['rf2', 'mf2', 'ff2']]
85;tap;10;2;5;[['palm22', 'palm12'], ['palm23', 'palm13'], ['mf1', 'rf1'], ['mf2', 'rf2'], ['mf3', 'rf3']]
86;tap-and-hold;10;2;5;[['palm22', 'palm12'], ['palm23', 'palm13'], ['mf1', 'rf1'], ['mf2', 'rf2'], ['mf3', 'rf3']]
87;slide;10;2;5;[['palm22', 'palm12'], ['palm23', 'palm13'], ['mf1', 'rf1'], ['mf2', 'rf2'], ['mf3', 'rf3']]
88;tap;10;2;5;[['palm31', 'palm21'], ['palm32', 'palm22'], ['palm33', 'palm23'], ['ff1', 'mf1'], ['ff2', 'mf2']]
89;tap-and-hold;10;2;5;[['palm31', 'palm21'], ['palm32', 'palm22'], ['palm33', 'palm23'], ['ff1', 'mf1'], ['ff2', 'mf2']]
90;slide;10;2;5;[['palm31', 'palm21'], ['palm32', 'palm22'], ['palm33', 'palm23'], ['ff1', 'mf1'], ['ff2', 'mf2']]
