trial;type;nb_actuators;width;length;actuators
1;tap-and-hold;10;2;5;[['rf3', 'mf3'], ['rf2', 'mf2'], ['rf1', 'mf1'], ['palm13', 'palm23'], ['palm12', 'palm22']]
2;tap;2;1;2;['palm12', 'palm13']
3;tap-and-hold;2;1;2;['palm12', 'palm13']
4;slide;10;2;5;[['rf3', 'mf3'], ['rf2', 'mf2'], ['rf1', 'mf1'], ['palm13', 'palm23'], ['palm12', 'palm22']]
5;slide;6;2;3;[['ff3', 'mf3'], ['ff2', 'mf2'], ['ff1', 'mf1']]
6;tap-and-hold;6;2;3;[['ff3', 'mf3'], ['ff2', 'mf2'], ['ff1', 'mf1']]
7;tap;10;2;5;[['rf3', 'mf3'], ['rf2', 'mf2'], ['rf1', 'mf1'], ['palm13', 'palm23'], ['palm12', 'palm22']]
8;tap;6;2;3;[['ff3', 'mf3'], ['ff2', 'mf2'], ['ff1', 'mf1']]
9;slide;2;1;2;['palm12', 'palm13']
