time,event
1.0251998901367188e-05,experiment started
15.210118770599365,stimulus 1 of 90 complete
18.19397497177124,stimulus 2 of 90 complete
20.433868169784546,stimulus 3 of 90 complete
22.35353183746338,stimulus 4 of 90 complete
24.66559648513794,stimulus 5 of 90 complete
26.905559301376343,stimulus 6 of 90 complete
28.52017903327942,stimulus 7 of 90 complete
33.53797101974487,stimulus 8 of 90 complete
34.90602421760559,stimulus 9 of 90 complete
36.10580492019653,stimulus 10 of 90 complete
47.86563420295715,stimulus 11 of 90 complete
48.96930694580078,stimulus 12 of 90 complete
50.12966346740723,stimulus 13 of 90 complete
51.226125955581665,stimulus 14 of 90 complete
52.28219676017761,stimulus 15 of 90 complete
53.363107204437256,stimulus 16 of 90 complete
54.449848890304565,stimulus 17 of 90 complete
55.62631583213806,stimulus 18 of 90 complete
56.714030027389526,stimulus 19 of 90 complete
57.85131883621216,stimulus 20 of 90 complete
58.938645362854004,stimulus 21 of 90 complete
59.970134258270264,stimulus 22 of 90 complete
61.23473119735718,stimulus 23 of 90 complete
62.60127258300781,stimulus 24 of 90 complete
64.37797498703003,stimulus 25 of 90 complete
65.52184700965881,stimulus 26 of 90 complete
66.69792056083679,stimulus 27 of 90 complete
67.7946183681488,stimulus 28 of 90 complete
68.92241740226746,stimulus 29 of 90 complete
70.09022879600525,stimulus 30 of 90 complete
71.306631565094,stimulus 31 of 90 complete
72.6742434501648,stimulus 32 of 90 complete
73.76289677619934,stimulus 33 of 90 complete
75.08964204788208,stimulus 34 of 90 complete
76.25037670135498,stimulus 35 of 90 complete
77.44072437286377,stimulus 36 of 90 complete
78.56201434135437,stimulus 37 of 90 complete
79.64189386367798,stimulus 38 of 90 complete
80.93838548660278,stimulus 39 of 90 complete
269.49982261657715,stimulus 40 of 90 complete
270.82073497772217,stimulus 41 of 90 complete
272.09260725975037,stimulus 42 of 90 complete
273.26016569137573,stimulus 43 of 90 complete
274.85200214385986,stimulus 44 of 90 complete
276.0680866241455,stimulus 45 of 90 complete
277.1965363025665,stimulus 46 of 90 complete
278.3961772918701,stimulus 47 of 90 complete
279.5634329319,stimulus 48 of 90 complete
280.8282504081726,stimulus 49 of 90 complete
282.06028294563293,stimulus 50 of 90 complete
283.2290918827057,stimulus 51 of 90 complete
284.83649134635925,stimulus 52 of 90 complete
285.99573826789856,stimulus 53 of 90 complete
287.188894033432,stimulus 54 of 90 complete
288.42822766304016,stimulus 55 of 90 complete
289.82847356796265,stimulus 56 of 90 complete
291.44460892677307,stimulus 57 of 90 complete
292.82839608192444,stimulus 58 of 90 complete
294.3724846839905,stimulus 59 of 90 complete
296.1246953010559,stimulus 60 of 90 complete
297.10084795951843,stimulus 61 of 90 complete
298.6031770706177,stimulus 62 of 90 complete
301.212215423584,stimulus 63 of 90 complete
302.4122202396393,stimulus 64 of 90 complete
303.570716381073,stimulus 65 of 90 complete
304.9973180294037,stimulus 66 of 90 complete
306.26952600479126,stimulus 67 of 90 complete
307.7330734729767,stimulus 68 of 90 complete
308.8601338863373,stimulus 69 of 90 complete
310.0614182949066,stimulus 70 of 90 complete
311.3577618598938,stimulus 71 of 90 complete
312.55699586868286,stimulus 72 of 90 complete
313.7893445491791,stimulus 73 of 90 complete
314.94113516807556,stimulus 74 of 90 complete
316.10020089149475,stimulus 75 of 90 complete
317.22172570228577,stimulus 76 of 90 complete
318.38960433006287,stimulus 77 of 90 complete
319.76493430137634,stimulus 78 of 90 complete
321.0529022216797,stimulus 79 of 90 complete
322.38029956817627,stimulus 80 of 90 complete
323.6610109806061,stimulus 81 of 90 complete
324.9089150428772,stimulus 82 of 90 complete
326.38918590545654,stimulus 83 of 90 complete
327.56566739082336,stimulus 84 of 90 complete
328.69258666038513,stimulus 85 of 90 complete
330.4685468673706,stimulus 86 of 90 complete
331.7722406387329,stimulus 87 of 90 complete
333.0435280799866,stimulus 88 of 90 complete
334.2689836025238,stimulus 89 of 90 complete
335.55677461624146,stimulus 90 of 90 complete
335.5589208602905,Experiment finished
