time,event
8.700000762473792e-06,experiment started
0.050846800000726944,stimulus 1 of 60 complete
0.10152990000005957,stimulus 2 of 60 complete
0.15223020000030374,stimulus 3 of 60 complete
0.20298000000002503,stimulus 4 of 60 complete
0.25367370000003575,stimulus 5 of 60 complete
0.30430169999999634,stimulus 6 of 60 complete
0.3550598000001628,stimulus 7 of 60 complete
0.4059333000004699,stimulus 8 of 60 complete
0.4567359000002398,stimulus 9 of 60 complete
0.5074492000003374,stimulus 10 of 60 complete
0.5585721000006743,stimulus 11 of 60 complete
0.6093689000008453,stimulus 12 of 60 complete
0.6600517000006221,stimulus 13 of 60 complete
0.7106808000007732,stimulus 14 of 60 complete
0.761406800000259,stimulus 15 of 60 complete
0.8124838000003365,stimulus 16 of 60 complete
0.8640308000003643,stimulus 17 of 60 complete
0.9156702000000223,stimulus 18 of 60 complete
0.9678475000000617,stimulus 19 of 60 complete
1.0187156000001778,stimulus 20 of 60 complete
1.069335800000772,stimulus 21 of 60 complete
1.1200457000004462,stimulus 22 of 60 complete
1.1750578000001042,stimulus 23 of 60 complete
1.226029300000846,stimulus 24 of 60 complete
1.2765831000006074,stimulus 25 of 60 complete
1.3271649000007528,stimulus 26 of 60 complete
1.3778730000003634,stimulus 27 of 60 complete
1.4284879000006185,stimulus 28 of 60 complete
1.4791037000004508,stimulus 29 of 60 complete
1.5296988000000056,stimulus 30 of 60 complete
1.5803267000001142,stimulus 31 of 60 complete
1.6309585000008155,stimulus 32 of 60 complete
1.6815766000008807,stimulus 33 of 60 complete
1.7322537000000011,stimulus 34 of 60 complete
1.7828627000008055,stimulus 35 of 60 complete
1.8334464000008666,stimulus 36 of 60 complete
1.884026000000631,stimulus 37 of 60 complete
1.9346644000006563,stimulus 38 of 60 complete
1.9853467000002638,stimulus 39 of 60 complete
2.0359483000002,stimulus 40 of 60 complete
2.086536000000706,stimulus 41 of 60 complete
2.1370974000001297,stimulus 42 of 60 complete
2.187698800000362,stimulus 43 of 60 complete
2.2382830000005924,stimulus 44 of 60 complete
2.2888469000008627,stimulus 45 of 60 complete
2.3394679000002725,stimulus 46 of 60 complete
2.3900663000003988,stimulus 47 of 60 complete
2.4407216000008702,stimulus 48 of 60 complete
2.4913784000000305,stimulus 49 of 60 complete
2.5422105000006923,stimulus 50 of 60 complete
2.593044600000212,stimulus 51 of 60 complete
2.6436357000002317,stimulus 52 of 60 complete
2.694256200000382,stimulus 53 of 60 complete
2.744839000000866,stimulus 54 of 60 complete
2.7954374000000826,stimulus 55 of 60 complete
2.8460969000007026,stimulus 56 of 60 complete
2.8967398000004323,stimulus 57 of 60 complete
2.9474173000007795,stimulus 58 of 60 complete
2.998207900000125,stimulus 59 of 60 complete
3.049002300000211,stimulus 60 of 60 complete
3.0493468000004214,Experiment finished
