trial;type;nb_actuators;width;length;actuators
1;tap;12;3;4;[['mf1', 'rf1', 'p1'], ['palm33', 'palm23', 'palm13'], ['palm32', 'palm22', 'palm12'], ['palm31', 'palm21', 'palm11']]
2;slide;4;1;4;['palm11', 'palm12', 'palm22', 'palm32']
3;slide;12;3;4;[['palm12', 'palm22', 'palm32'], ['palm13', 'palm23', 'palm33'], ['p1', 'rf1', 'mf1'], ['p2', 'rf2', 'mf2']]
4;tap-and-hold;10;2;5;[['rf3', 'mf3'], ['rf2', 'mf2'], ['rf1', 'mf1'], ['palm23', 'palm33'], ['palm22', 'palm32']]
5;tap;12;4;3;[['palm32', 'palm33', 'ff1', 'ff2'], ['palm22', 'palm23', 'rf1', 'rf2'], ['palm12', 'palm13', 'p1', 'p2']]
6;tap-and-hold;5;1;5;['mf2', 'mf1', 'rf1', 'p1', 'p2']
7;tap;12;4;3;[['palm32', 'palm33', 'ff1', 'ff2'], ['palm22', 'palm23', 'mf1', 'mf2'], ['palm12', 'palm13', 'p1', 'p2']]
8;slide;12;4;3;[['palm31', 'palm32', 'palm33', 'ff1'], ['palm21', 'palm22', 'palm23', 'mf1'], ['palm11', 'palm12', 'palm13', 'rf1']]
9;tap;5;1;5;['ff2', 'ff1', 'palm33', 'palm23', 'mf1']
10;tap;9;3;3;[['rf3', 'mf3', 'ff3'], ['rf2', 'mf2', 'ff2'], ['rf1', 'mf1', 'ff1']]
11;slide;9;3;3;[['rf3', 'mf3', 'ff3'], ['rf2', 'mf2', 'ff2'], ['rf1', 'mf1', 'ff1']]
12;tap;6;2;3;[['palm21', 'palm11'], ['palm22', 'palm12'], ['palm23', 'palm13']]
13;tap-and-hold;9;3;3;[['rf3', 'mf3', 'ff3'], ['rf2', 'mf2', 'ff2'], ['rf1', 'mf1', 'ff1']]
14;tap-and-hold;12;4;3;[['palm31', 'palm32', 'palm33', 'ff1'], ['palm21', 'palm22', 'palm23', 'mf1'], ['palm11', 'palm12', 'palm13', 'rf1']]
15;tap;9;3;3;[['ff3', 'mf3', 'rf3'], ['ff2', 'mf2', 'rf2'], ['ff1', 'mf1', 'rf1']]
16;tap-and-hold;9;3;3;[['ff3', 'mf3', 'rf3'], ['ff2', 'mf2', 'rf2'], ['ff1', 'mf1', 'rf1']]
17;slide;12;3;4;[['mf1', 'rf1', 'p1'], ['palm33', 'palm23', 'palm13'], ['palm32', 'palm22', 'palm12'], ['palm31', 'palm21', 'palm11']]
18;slide;8;4;2;[['palm31', 'palm32', 'palm33', 'ff1'], ['palm21', 'palm22', 'palm23', 'mf1']]
19;tap-and-hold;10;2;5;[['rf2', 'p2'], ['rf1', 'p1'], ['palm23', 'palm13'], ['palm22', 'palm12'], ['palm21', 'palm11']]
20;tap;12;3;4;[['palm12', 'palm22', 'palm32'], ['palm13', 'palm23', 'palm33'], ['p1', 'rf1', 'mf1'], ['p2', 'rf2', 'mf2']]
21;slide;10;2;5;[['rf3', 'mf3'], ['rf2', 'mf2'], ['rf1', 'mf1'], ['palm23', 'palm33'], ['palm22', 'palm32']]
22;slide;4;2;2;[['palm13', 'palm12'], ['palm23', 'palm22']]
23;slide;4;2;2;[['ff3', 'mf3'], ['ff2', 'mf2']]
