time,event
8.106231689453125e-06,experiment started
1.449946403503418,stimulus 1 of 90 complete
3.162339925765991,stimulus 2 of 90 complete
4.569932460784912,stimulus 3 of 90 complete
6.289934158325195,stimulus 4 of 90 complete
7.800511360168457,stimulus 5 of 90 complete
9.122734308242798,stimulus 6 of 90 complete
11.15424394607544,stimulus 7 of 90 complete
12.463546991348267,stimulus 8 of 90 complete
13.86606478691101,stimulus 9 of 90 complete
15.338812112808228,stimulus 10 of 90 complete
18.106384754180908,stimulus 11 of 90 complete
19.54554843902588,stimulus 12 of 90 complete
