trial,type,speed,contact_area,force,pulse_code,kinect_recording
1,app-motion,large
2,tap,large
3,tap,large
4,app-motion,medium
5,tap-and-hold,medium
6,tap,medium
7,tap-and-hold,large
8,app-motion,medium
9,tap,medium
10,tap-and-hold,medium
11,tap,medium
12,tap,medium
13,app-motion,medium
14,tap-and-hold,medium
15,app-motion,large
16,app-motion,medium
17,app-motion,large
18,app-motion,large
19,app-motion,large
20,tap-and-hold,large
21,tap-and-hold,large
22,tap-and-hold,large
23,tap,medium
24,tap-and-hold,medium
25,tap,large
26,tap,medium
27,app-motion,medium
28,tap-and-hold,medium
29,tap,large
30,tap-and-hold,medium
31,tap,large
32,app-motion,large
33,tap,medium
34,app-motion,large
35,tap-and-hold,large
36,tap-and-hold,medium
37,app-motion,large
38,tap-and-hold,large
39,tap,medium
40,tap,large
41,tap-and-hold,medium
42,tap,large
43,tap-and-hold,large
44,tap-and-hold,large
45,tap,large
46,app-motion,large
47,tap,large
48,app-motion,medium
49,tap-and-hold,medium
50,tap,large
51,app-motion,medium
52,app-motion,medium
53,tap,medium
54,app-motion,medium
55,tap-and-hold,large
56,tap,medium
57,app-motion,large
58,tap-and-hold,medium
59,tap-and-hold,large
60,app-motion,medium
