time,event
1.4399999599845614e-05,experiment started
0.05109089999950811,stimulus 1 of 60 complete
0.10175819999949454,stimulus 2 of 60 complete
0.15241119999973307,stimulus 3 of 60 complete
0.20301180000024033,stimulus 4 of 60 complete
0.25385279999954946,stimulus 5 of 60 complete
0.30477460000020073,stimulus 6 of 60 complete
0.35546619999968243,stimulus 7 of 60 complete
0.40619129999959114,stimulus 8 of 60 complete
0.45687960000032035,stimulus 9 of 60 complete
0.5076257999999143,stimulus 10 of 60 complete
0.5605353999999352,stimulus 11 of 60 complete
0.6112891000002492,stimulus 12 of 60 complete
0.6620931999996174,stimulus 13 of 60 complete
0.7129165999995166,stimulus 14 of 60 complete
0.763989699999911,stimulus 15 of 60 complete
0.8153125999997428,stimulus 16 of 60 complete
0.8664613999999347,stimulus 17 of 60 complete
0.9173432999996294,stimulus 18 of 60 complete
0.9681727999995928,stimulus 19 of 60 complete
1.0188541999996232,stimulus 20 of 60 complete
1.0695091999996293,stimulus 21 of 60 complete
1.1250042000001486,stimulus 22 of 60 complete
1.1758960999995907,stimulus 23 of 60 complete
1.2265532000001258,stimulus 24 of 60 complete
1.2772841999994853,stimulus 25 of 60 complete
1.3280306999995446,stimulus 26 of 60 complete
1.3787563999994745,stimulus 27 of 60 complete
1.429357600000003,stimulus 28 of 60 complete
1.4799653999998554,stimulus 29 of 60 complete
1.5305489000002126,stimulus 30 of 60 complete
1.581171799999538,stimulus 31 of 60 complete
1.6318146000003253,stimulus 32 of 60 complete
1.6823560000002544,stimulus 33 of 60 complete
1.7328412999995635,stimulus 34 of 60 complete
1.7834327000000485,stimulus 35 of 60 complete
1.8340479999997115,stimulus 36 of 60 complete
1.8846354999996038,stimulus 37 of 60 complete
1.9352232000001095,stimulus 38 of 60 complete
1.9858750000003056,stimulus 39 of 60 complete
2.0365560999998706,stimulus 40 of 60 complete
2.0871980000001713,stimulus 41 of 60 complete
2.1378309000001536,stimulus 42 of 60 complete
2.1884288000001106,stimulus 43 of 60 complete
2.2390212999998766,stimulus 44 of 60 complete
2.289625999999771,stimulus 45 of 60 complete
2.340201299999535,stimulus 46 of 60 complete
2.390812200000255,stimulus 47 of 60 complete
2.4413839999997435,stimulus 48 of 60 complete
2.4919670999997834,stimulus 49 of 60 complete
2.5426329000001715,stimulus 50 of 60 complete
2.59326080000028,stimulus 51 of 60 complete
2.6438876000001983,stimulus 52 of 60 complete
2.69450710000001,stimulus 53 of 60 complete
2.745090800000071,stimulus 54 of 60 complete
2.7957618999998886,stimulus 55 of 60 complete
2.8463627999999517,stimulus 56 of 60 complete
2.896918899999946,stimulus 57 of 60 complete
2.9475069000000076,stimulus 58 of 60 complete
2.998060400000213,stimulus 59 of 60 complete
3.048652299999958,stimulus 60 of 60 complete
3.0488697999999204,Experiment finished
