trial;type;nb_actuators;width;length;actuators
75;tap-and-hold;4;1;4;['p2', 'rf2', 'rf3', 'mf3']
76;tap-and-hold;8;4;2;[['palm21', 'palm22', 'palm23', 'rf1'], ['palm11', 'palm12', 'palm13', 'p1']]
77;slide;5;1;5;['palm32', 'palm31', 'b1', 'palm21', 'palm22']
78;slide;8;2;4;[['rf1', 'mf1'], ['palm13', 'palm23'], ['palm12', 'palm22'], ['palm11', 'palm21']]
79;tap;5;1;5;['ff3', 'ff2', 'ff1', 'palm33', 'palm23']
80;tap-and-hold;9;3;3;[['p2', 'rf2', 'mf2'], ['p1', 'rf1', 'mf1'], ['palm13', 'palm23', 'palm33']]
81;tap;9;3;3;[['palm31', 'palm32', 'palm33'], ['palm21', 'palm22', 'palm23'], ['palm11', 'palm12', 'palm13']]
82;slide;9;3;3;[['p2', 'rf2', 'mf2'], ['p1', 'rf1', 'mf1'], ['palm13', 'palm23', 'palm33']]
83;tap-and-hold;10;2;5;[['palm12', 'palm22'], ['palm13', 'palm23'], ['rf1', 'mf1'], ['rf2', 'mf2'], ['rf3', 'mf3']]
84;tap-and-hold;5;1;5;['palm32', 'palm31', 'b1', 'palm21', 'palm22']
85;slide;10;2;5;[['mf3', 'ff3'], ['mf2', 'ff2'], ['mf1', 'ff1'], ['palm23', 'palm33'], ['palm22', 'palm32']]
86;slide;9;3;3;[['palm31', 'palm32', 'palm33'], ['palm21', 'palm22', 'palm23'], ['palm11', 'palm12', 'palm13']]
87;tap-and-hold;3;1;3;['palm22', 'palm21', 'palm31']
88;slide;3;1;3;['rf2', 'rf1', 'p1']
89;tap-and-hold;9;3;3;[['palm31', 'palm21', 'palm11'], ['palm32', 'palm22', 'palm12'], ['palm33', 'palm23', 'palm13']]
90;tap;12;3;4;[['p2', 'rf2', 'mf2'], ['p1', 'rf1', 'mf1'], ['palm13', 'palm23', 'palm33'], ['palm12', 'palm22', 'palm32']]
