trial;type;nb_actuators;width;length;actuators
1;tap-and-hold;3;1;3;['rf2', 'rf1', 'p1']
2;tap;8;4;2;[['rf1', 'palm13', 'palm12', 'palm11'], ['mf1', 'palm33', 'palm32', 'palm31']]
3;slide;5;1;5;['palm12', 'palm22', 'palm32', 't1', 't2']
4;slide;8;2;4;[['palm11', 'palm21'], ['palm12', 'palm22'], ['palm13', 'palm23'], ['p1', 'rf1']]
5;slide;6;2;3;[['palm23', 'palm33'], ['palm22', 'palm32'], ['palm21', 'palm31']]
6;slide;2;1;2;['p2', 'rf2']
7;slide;3;1;3;['b1', 'palm21', 'palm11']
8;slide;3;1;3;['rf2', 'mf2', 'mf3']
9;slide;2;1;2;['rf1', 'palm23']
10;tap-and-hold;9;3;3;[['palm13', 'palm23', 'palm33'], ['palm12', 'palm22', 'palm32'], ['palm11', 'palm21', 'palm31']]
11;tap;5;1;5;['palm12', 'palm22', 'palm32', 't1', 't2']
12;tap-and-hold;3;1;3;['b1', 'palm21', 'palm11']
13;tap-and-hold;10;2;5;[['rf3', 'mf3'], ['rf2', 'mf2'], ['rf1', 'mf1'], ['palm23', 'palm33'], ['palm22', 'palm32']]
14;tap;3;1;3;['rf2', 'rf1', 'p1']
15;tap-and-hold;8;4;2;[['rf2', 'rf1', 'palm13', 'palm12'], ['mf2', 'mf1', 'palm33', 'palm32']]
16;tap;10;2;5;[['mf3', 'ff3'], ['mf2', 'ff2'], ['mf1', 'ff1'], ['palm23', 'palm33'], ['palm22', 'palm32']]
17;tap-and-hold;12;3;4;[['palm31', 'palm21', 'palm11'], ['palm32', 'palm22', 'palm12'], ['palm33', 'palm23', 'palm13'], ['ff1', 'mf1', 'rf1']]
18;slide;8;4;2;[['rf2', 'rf1', 'palm13', 'palm12'], ['mf2', 'mf1', 'palm33', 'palm32']]
19;tap;8;2;4;[['rf1', 'mf1'], ['palm13', 'palm23'], ['palm12', 'palm22'], ['palm11', 'palm21']]
20;tap;8;4;2;[['rf2', 'rf1', 'palm13', 'palm12'], ['mf2', 'mf1', 'palm33', 'palm32']]
21;tap;12;3;4;[['palm31', 'palm21', 'palm11'], ['palm32', 'palm22', 'palm12'], ['palm33', 'palm23', 'palm13'], ['ff1', 'mf1', 'rf1']]
22;tap-and-hold;10;2;5;[['mf3', 'ff3'], ['mf2', 'ff2'], ['mf1', 'ff1'], ['palm23', 'palm33'], ['palm22', 'palm32']]
23;slide;12;3;4;[['p2', 'rf2', 'mf2'], ['p1', 'rf1', 'mf1'], ['palm13', 'palm23', 'palm33'], ['palm12', 'palm22', 'palm32']]
24;slide;9;3;3;[['palm31', 'palm21', 'palm11'], ['palm32', 'palm22', 'palm12'], ['palm33', 'palm23', 'palm13']]
25;slide;8;4;2;[['palm21', 'palm22', 'palm23', 'rf1'], ['palm11', 'palm12', 'palm13', 'p1']]
26;tap-and-hold;8;2;4;[['rf1', 'mf1'], ['palm13', 'palm23'], ['palm12', 'palm22'], ['palm11', 'palm21']]
27;tap-and-hold;8;4;2;[['rf1', 'palm13', 'palm12', 'palm11'], ['mf1', 'palm33', 'palm32', 'palm31']]
28;slide;3;1;3;['palm22', 'palm21', 'palm31']
29;slide;5;1;5;['ff3', 'ff2', 'ff1', 'palm33', 'palm23']
30;tap;10;2;5;[['palm12', 'palm22'], ['palm13', 'palm23'], ['rf1', 'mf1'], ['rf2', 'mf2'], ['rf3', 'mf3']]
31;slide;9;3;3;[['ff1', 'mf1', 'rf1'], ['palm33', 'palm23', 'palm13'], ['palm32', 'palm22', 'palm12']]
32;tap;4;1;4;['palm11', 'palm12', 'palm22', 'palm21']
33;slide;10;2;5;[['rf3', 'mf3'], ['rf2', 'mf2'], ['rf1', 'mf1'], ['palm23', 'palm33'], ['palm22', 'palm32']]
34;tap;6;2;3;[['palm23', 'palm33'], ['palm22', 'palm32'], ['palm21', 'palm31']]
35;tap;3;1;3;['palm22', 'palm21', 'palm31']
36;tap;2;1;2;['rf1', 'palm23']
37;tap-and-hold;12;3;4;[['p2', 'rf2', 'mf2'], ['p1', 'rf1', 'mf1'], ['palm13', 'palm23', 'palm33'], ['palm12', 'palm22', 'palm32']]
38;tap;2;1;2;['p2', 'rf2']
39;slide;8;4;2;[['rf1', 'palm13', 'palm12', 'palm11'], ['mf1', 'palm33', 'palm32', 'palm31']]
40;tap;4;1;4;['p1', 'palm13', 'palm23', 'rf1']
41;tap;9;3;3;[['p2', 'rf2', 'mf2'], ['p1', 'rf1', 'mf1'], ['palm13', 'palm23', 'palm33']]
42;tap;8;2;4;[['palm12', 'palm22'], ['palm13', 'palm23'], ['rf1', 'mf1'], ['rf2', 'mf2']]
43;slide;10;2;5;[['palm12', 'palm22'], ['palm13', 'palm23'], ['rf1', 'mf1'], ['rf2', 'mf2'], ['rf3', 'mf3']]
44;tap-and-hold;2;1;2;['p2', 'rf2']
45;tap;8;2;4;[['palm11', 'palm21'], ['palm12', 'palm22'], ['palm13', 'palm23'], ['p1', 'rf1']]
46;tap-and-hold;3;1;3;['rf2', 'mf2', 'mf3']
47;tap;3;1;3;['ff2', 'mf2', 'mf1']
48;tap;4;1;4;['p2', 'rf2', 'rf3', 'mf3']
49;tap-and-hold;8;2;4;[['palm11', 'palm21'], ['palm12', 'palm22'], ['palm13', 'palm23'], ['p1', 'rf1']]
50;tap;9;3;3;[['palm13', 'palm23', 'palm33'], ['palm12', 'palm22', 'palm32'], ['palm11', 'palm21', 'palm31']]
51;slide;12;3;4;[['palm31', 'palm21', 'palm11'], ['palm32', 'palm22', 'palm12'], ['palm33', 'palm23', 'palm13'], ['ff1', 'mf1', 'rf1']]
52;tap;3;1;3;['rf2', 'mf2', 'mf3']
53;tap-and-hold;4;1;4;['palm11', 'palm12', 'palm22', 'palm21']
54;tap;9;3;3;[['ff1', 'mf1', 'rf1'], ['palm33', 'palm23', 'palm13'], ['palm32', 'palm22', 'palm12']]
55;tap;3;1;3;['b1', 'palm21', 'palm11']
56;slide;3;1;3;['ff2', 'mf2', 'mf1']
57;tap;9;3;3;[['palm31', 'palm21', 'palm11'], ['palm32', 'palm22', 'palm12'], ['palm33', 'palm23', 'palm13']]
58;tap-and-hold;2;1;2;['rf1', 'palm23']
59;slide;4;1;4;['p1', 'palm13', 'palm23', 'rf1']
60;tap;5;1;5;['palm32', 'palm31', 'b1', 'palm21', 'palm22']
61;tap;8;4;2;[['palm21', 'palm22', 'palm23', 'rf1'], ['palm11', 'palm12', 'palm13', 'p1']]
62;slide;9;3;3;[['palm13', 'palm23', 'palm33'], ['palm12', 'palm22', 'palm32'], ['palm11', 'palm21', 'palm31']]
63;tap-and-hold;6;2;3;[['palm23', 'palm33'], ['palm22', 'palm32'], ['palm21', 'palm31']]
64;slide;8;2;4;[['palm12', 'palm22'], ['palm13', 'palm23'], ['rf1', 'mf1'], ['rf2', 'mf2']]
65;tap-and-hold;8;2;4;[['palm12', 'palm22'], ['palm13', 'palm23'], ['rf1', 'mf1'], ['rf2', 'mf2']]
66;tap-and-hold;9;3;3;[['palm31', 'palm32', 'palm33'], ['palm21', 'palm22', 'palm23'], ['palm11', 'palm12', 'palm13']]
67;slide;4;1;4;['p2', 'rf2', 'rf3', 'mf3']
68;tap;10;2;5;[['rf3', 'mf3'], ['rf2', 'mf2'], ['rf1', 'mf1'], ['palm23', 'palm33'], ['palm22', 'palm32']]
69;slide;4;1;4;['palm11', 'palm12', 'palm22', 'palm21']
70;tap-and-hold;5;1;5;['ff3', 'ff2', 'ff1', 'palm33', 'palm23']
71;tap-and-hold;4;1;4;['p1', 'palm13', 'palm23', 'rf1']
72;tap-and-hold;5;1;5;['palm12', 'palm22', 'palm32', 't1', 't2']
73;tap-and-hold;3;1;3;['ff2', 'mf2', 'mf1']
74;tap-and-hold;9;3;3;[['ff1', 'mf1', 'rf1'], ['palm33', 'palm23', 'palm13'], ['palm32', 'palm22', 'palm12']]
