time,event
2.86102294921875e-05,experiment started
2.8212952613830566,stimulus 1 of 90 complete
8.876322507858276,stimulus 2 of 90 complete
12.28403615951538,stimulus 3 of 90 complete
14.596686363220215,stimulus 4 of 90 complete
16.757192850112915,stimulus 5 of 90 complete
18.900917768478394,stimulus 6 of 90 complete
33.245158195495605,stimulus 7 of 90 complete
43.02890872955322,stimulus 8 of 90 complete
46.659958600997925,stimulus 9 of 90 complete
48.91704273223877,stimulus 10 of 90 complete
52.61393141746521,stimulus 11 of 90 complete
54.37398433685303,stimulus 12 of 90 complete
56.3731484413147,stimulus 13 of 90 complete
58.30096173286438,stimulus 14 of 90 complete
60.18213987350464,stimulus 15 of 90 complete
62.02982306480408,stimulus 16 of 90 complete
63.95690679550171,stimulus 17 of 90 complete
65.88511323928833,stimulus 18 of 90 complete
67.71676731109619,stimulus 19 of 90 complete
69.60489463806152,stimulus 20 of 90 complete
72.1567816734314,stimulus 21 of 90 complete
74.7325792312622,stimulus 22 of 90 complete
