time,event
8.100003469735384e-06,experiment started
0.05084589999751188,stimulus 1 of 60 complete
0.10153699999500532,stimulus 2 of 60 complete
0.15216640000289772,stimulus 3 of 60 complete
0.20280149999598507,stimulus 4 of 60 complete
0.2534620999940671,stimulus 5 of 60 complete
0.3041278000018792,stimulus 6 of 60 complete
0.3547843999986071,stimulus 7 of 60 complete
0.40553360000194516,stimulus 8 of 60 complete
0.45639459999802057,stimulus 9 of 60 complete
0.5070264999958454,stimulus 10 of 60 complete
0.5578876000072341,stimulus 11 of 60 complete
0.6085291000053985,stimulus 12 of 60 complete
0.6605110999953467,stimulus 13 of 60 complete
0.7119414000044344,stimulus 14 of 60 complete
0.7626802000013413,stimulus 15 of 60 complete
0.8133285000076285,stimulus 16 of 60 complete
0.8640906000073301,stimulus 17 of 60 complete
0.9149548999994295,stimulus 18 of 60 complete
0.96594969999569,stimulus 19 of 60 complete
1.0168183000059798,stimulus 20 of 60 complete
1.0675019000045722,stimulus 21 of 60 complete
1.1181347999954596,stimulus 22 of 60 complete
1.1687753000005614,stimulus 23 of 60 complete
1.2193919999990612,stimulus 24 of 60 complete
1.2699938000005204,stimulus 25 of 60 complete
1.3206579999969108,stimulus 26 of 60 complete
1.3712266000075033,stimulus 27 of 60 complete
1.421827600002871,stimulus 28 of 60 complete
1.472445699997479,stimulus 29 of 60 complete
1.523067300004186,stimulus 30 of 60 complete
1.573707400006242,stimulus 31 of 60 complete
1.6243286999961128,stimulus 32 of 60 complete
1.6749320999952033,stimulus 33 of 60 complete
1.7255248000001302,stimulus 34 of 60 complete
1.7761007000081008,stimulus 35 of 60 complete
1.8267167000012705,stimulus 36 of 60 complete
1.8773339000035776,stimulus 37 of 60 complete
1.92795890000707,stimulus 38 of 60 complete
1.9786286000016844,stimulus 39 of 60 complete
2.029354600002989,stimulus 40 of 60 complete
2.0800080000044545,stimulus 41 of 60 complete
2.1306003000063356,stimulus 42 of 60 complete
2.181251300004078,stimulus 43 of 60 complete
2.2320131000014953,stimulus 44 of 60 complete
2.282712200001697,stimulus 45 of 60 complete
2.3333190999983344,stimulus 46 of 60 complete
2.3839089999964926,stimulus 47 of 60 complete
2.4345054000004893,stimulus 48 of 60 complete
2.4851023999945028,stimulus 49 of 60 complete
2.535681299996213,stimulus 50 of 60 complete
2.586289400001988,stimulus 51 of 60 complete
2.6370086999959312,stimulus 52 of 60 complete
2.6876043000083882,stimulus 53 of 60 complete
2.73818260000553,stimulus 54 of 60 complete
2.7888040999969235,stimulus 55 of 60 complete
2.8393935000058264,stimulus 56 of 60 complete
2.889982000007876,stimulus 57 of 60 complete
2.9405486000032397,stimulus 58 of 60 complete
2.9911479000002146,stimulus 59 of 60 complete
3.0417908999952488,stimulus 60 of 60 complete
3.0419989000074565,Experiment finished
